Area,Mean,StdDev,Circ.,AR,Round,Solidity,WT.or.LOF.or.Auxin
0.157,361267.338,3822.419,0.779,1.883,0.531,0.853,Wildtype
0.051,357813.031,1593.834,1,1.144,0.874,0.889,Wildtype
0.134,360805.554,4006.549,0.92,1.431,0.699,0.902,Wildtype
0.107,361428.549,4210.875,0.959,1.361,0.734,0.894,Wildtype
0.02,356442.369,570.668,1,1.372,0.729,0.957,Wildtype
0.081,358883.206,2419.44,0.97,1.549,0.646,0.928,Wildtype
0.168,357051.128,2756.809,0.833,1.695,0.59,0.89,Wildtype
0.166,356769.284,2447.74,0.752,2.213,0.452,0.885,Wildtype
0.17,356021.836,1872.416,0.827,1.791,0.558,0.913,Wildtype
0.009,353623.912,77.736,1,1.553,0.644,0.909,Wildtype
0.094,355523.683,1388.493,0.846,1.871,0.534,0.86,Wildtype
0.141,356712.498,2365.187,0.858,1.902,0.526,0.918,Wildtype
0.072,354848.321,923.871,0.862,1.89,0.529,0.909,Wildtype
0.061,354580.796,707.438,0.919,1.704,0.587,0.895,Wildtype
0.011,353780.365,109.472,1,1.5,0.667,1,Wildtype
0.005,353654.125,109.487,1,1.464,0.683,0.857,Wildtype
0.23,359228.309,4441.716,0.772,2.206,0.453,0.907,Wildtype
0.108,356404.231,2145.073,0.849,1.749,0.572,0.882,Wildtype
0.08,366165.761,8615.265,0.847,1.543,0.648,0.907,Wildtype
0.28,360563.67,3027.015,0.675,2.553,0.392,0.886,Wildtype
0.094,362112.546,4351.858,1,1.076,0.929,0.92,Wildtype
0.108,361677.973,4152.69,0.993,1.172,0.853,0.93,Wildtype
0.052,358500.98,1678.623,0.977,1.276,0.784,0.906,Wildtype
0.089,359726.927,2588.397,0.943,1.246,0.803,0.899,Wildtype
0.072,359260.445,2247.048,1,1.368,0.731,0.93,Wildtype
0.166,362430.055,4625.492,0.932,1.675,0.597,0.939,Wildtype
0.134,362821.043,4829.894,0.969,1.391,0.719,0.937,Wildtype
0.235,362527.112,4013.291,0.715,2.703,0.37,0.919,Wildtype
0.134,361621.979,3748.207,0.9,1.702,0.587,0.943,Wildtype
0.08,350238.435,NA,NA,NA,NA,NA,Loss of function
0.069,350210.148,NA,NA,NA,NA,NA,Loss of function
0.005,350114.188,NA,NA,NA,NA,NA,Loss of function
0.089,350248.973,NA,NA,NA,NA,NA,Loss of function
0.007,350115.242,NA,NA,NA,NA,NA,Loss of function
0.018,350142.709,NA,NA,NA,NA,NA,Loss of function
0.051,350196.578,NA,NA,NA,NA,NA,Loss of function
0.027,350152.694,NA,NA,NA,NA,NA,Loss of function
0.051,350192.525,NA,NA,NA,NA,NA,Loss of function
0.069,350292.308,NA,NA,NA,NA,NA,Loss of function
0.087,350235.133,NA,NA,NA,NA,NA,Loss of function
0.042,350182.826,NA,NA,NA,NA,NA,Loss of function
0.045,350210.206,NA,NA,NA,NA,NA,Loss of function
0.047,350194.814,NA,NA,NA,NA,NA,Loss of function
0.025,350160.728,NA,NA,NA,NA,NA,Loss of function
0.007,350150.734,NA,NA,NA,NA,NA,Loss of function
0.011,350144.125,NA,NA,NA,NA,NA,Loss of function
0.069,350258.484,NA,NA,NA,NA,NA,Loss of function
0.007,350148.781,NA,NA,NA,NA,NA,Loss of function
0.065,350319.309,NA,NA,NA,NA,NA,Loss of function
0.004,350143.234,NA,NA,NA,NA,NA,Loss of function
0.085,350343.032,NA,NA,NA,NA,NA,Loss of function
0.02,350173,NA,NA,NA,NA,NA,Loss of function
0.081,350276.755,NA,NA,NA,NA,NA,Loss of function
0.031,350196.296,NA,NA,NA,NA,NA,Loss of function
0.054,350230.618,NA,NA,NA,NA,NA,Loss of function
0.013,350146.46,NA,NA,NA,NA,NA,Loss of function
0.013,350144.723,NA,NA,NA,NA,NA,Loss of function
0.116,350091.614,NA,NA,NA,NA,NA,Loss of function
0.061,350049.737,NA,NA,NA,NA,NA,Loss of function
0.038,350045.958,NA,NA,NA,NA,NA,Loss of function
0.069,350052.393,NA,NA,NA,NA,NA,Loss of function
0.061,350058.583,NA,NA,NA,NA,NA,Loss of function
0.054,350048.061,NA,NA,NA,NA,NA,Loss of function
0.042,350077.531,NA,NA,NA,NA,NA,Loss of function
0.038,350081.031,NA,NA,NA,NA,NA,Loss of function
0.04,350078.456,NA,NA,NA,NA,NA,Loss of function
0.047,350086.269,NA,NA,NA,NA,NA,Loss of function
0.007,350053.992,NA,NA,NA,NA,NA,Loss of function
0.061,350100.556,NA,NA,NA,NA,NA,Loss of function
0.051,350093.257,NA,NA,NA,NA,NA,Loss of function
0.014,350056.141,NA,NA,NA,NA,NA,Loss of function
0.137,350130.296,NA,NA,NA,NA,NA,Loss of function
0.02,350059.349,NA,NA,NA,NA,NA,Loss of function
0.005,350052.625,NA,NA,NA,NA,NA,Loss of function
0.081,353311.177,NA,NA,NA,NA,NA,Loss of function
0.04,352685.214,NA,NA,NA,NA,NA,Loss of function
0.192,353947.162,NA,NA,NA,NA,NA,Loss of function
0.074,353538.979,NA,NA,NA,NA,NA,Loss of function
0.172,353381.84,NA,NA,NA,NA,NA,Loss of function
0.011,352197.474,NA,NA,NA,NA,NA,Loss of function
0.164,354709.054,NA,NA,NA,NA,NA,Loss of function
0.042,352608.916,NA,NA,NA,NA,NA,Loss of function
0.262,354591.376,NA,NA,NA,NA,NA,Loss of function
0.058,352868.995,NA,NA,NA,NA,NA,Loss of function
0.146,354473.106,NA,NA,NA,NA,NA,Loss of function
0.078,353513.603,NA,NA,NA,NA,NA,Loss of function
0.06,352918.111,NA,NA,NA,NA,NA,Loss of function
0.154,354716.227,NA,NA,NA,NA,NA,Loss of function
0.025,352411.163,NA,NA,NA,NA,NA,Loss of function
0.078,353136.736,NA,NA,NA,NA,NA,Loss of function
0.067,352943.592,NA,NA,NA,NA,NA,Loss of function
0.052,352869.387,NA,NA,NA,NA,NA,Loss of function
0.121,358815.944,NA,NA,NA,NA,NA,Loss of function
0.096,356049.489,NA,NA,NA,NA,NA,Loss of function
0.027,354699.638,NA,NA,NA,NA,NA,Loss of function
0.074,356399.107,NA,NA,NA,NA,NA,Loss of function
0.069,355879.095,NA,NA,NA,NA,NA,Loss of function
0.033,354998.76,NA,NA,NA,NA,NA,Loss of function
0.013,354166.594,NA,NA,NA,NA,NA,Loss of function
0.072,357560.067,NA,NA,NA,NA,NA,Loss of function
0.07,356731.913,NA,NA,NA,NA,NA,Loss of function
0.168,358495.907,NA,NA,NA,NA,NA,Loss of function
0.137,358815.907,NA,NA,NA,NA,NA,Loss of function
0.011,354123.448,NA,NA,NA,NA,NA,Loss of function
0.072,356430.523,NA,NA,NA,NA,NA,Loss of function
0.08,356154.523,NA,NA,NA,NA,NA,Loss of function
0.067,356264.044,NA,NA,NA,NA,NA,Loss of function
0.076,356500.832,NA,NA,NA,NA,NA,Loss of function
0.116,359195.703,NA,NA,NA,NA,NA,Loss of function
0.056,355757.108,NA,NA,NA,NA,NA,Loss of function
0.031,354965.801,NA,NA,NA,NA,NA,Loss of function
0.047,355209.345,NA,NA,NA,NA,NA,Loss of function
0.014,354412.91,NA,NA,NA,NA,NA,Loss of function
0.004,353789.109,NA,NA,NA,NA,NA,Loss of function
0.181,358596.688,NA,NA,NA,NA,NA,Loss of function
0.201,357397.14,NA,NA,NA,NA,NA,Loss of function
0.009,354010.138,NA,NA,NA,NA,NA,Loss of function
0.061,355838.593,NA,NA,NA,NA,NA,Loss of function
0.06,354944.104,NA,NA,NA,NA,NA,Loss of function
0.101,352716.804,NA,NA,NA,NA,NA,Loss of function
0.15,354392.46,NA,NA,NA,NA,NA,Loss of function
0.146,353893.014,NA,NA,NA,NA,NA,Loss of function
0.014,351940.77,NA,NA,NA,NA,NA,Loss of function
0.112,353122.771,NA,NA,NA,NA,NA,Loss of function
0.027,352098.256,NA,NA,NA,NA,NA,Loss of function
0.096,353226.496,NA,NA,NA,NA,NA,Loss of function
0.155,353992.34,NA,NA,NA,NA,NA,Loss of function
0.052,352510.655,NA,NA,NA,NA,NA,Loss of function
0.031,352131.849,NA,NA,NA,NA,NA,Loss of function
0.065,352747.744,NA,NA,NA,NA,NA,Loss of function
0.049,352507.146,NA,NA,NA,NA,NA,Loss of function
0.087,353135.994,NA,NA,NA,NA,NA,Loss of function
0.04,352324.933,NA,NA,NA,NA,NA,Loss of function
0.04,352268.341,NA,NA,NA,NA,NA,Loss of function
0.15,353863.725,NA,NA,NA,NA,NA,Loss of function
0.246,353804.19,NA,NA,NA,NA,NA,Loss of function
0.004,351783.062,NA,NA,NA,NA,NA,Loss of function
0.025,352210.368,NA,NA,NA,NA,NA,Loss of function
0.173,354203.068,NA,NA,NA,NA,NA,Loss of function
0.087,352876.886,NA,NA,NA,NA,NA,Loss of function
0.098,353278.199,NA,NA,NA,NA,NA,Loss of function
0.034,352158.717,NA,NA,NA,NA,NA,Loss of function
0.007,351835.398,NA,NA,NA,NA,NA,Loss of function
0.034,352126.477,NA,NA,NA,NA,NA,Loss of function
0.011,351884.13,NA,NA,NA,NA,NA,Loss of function
0.052,354882.446,NA,NA,NA,NA,NA,Loss of function
0.061,355024.603,NA,NA,NA,NA,NA,Loss of function
0.103,355459.173,NA,NA,NA,NA,NA,Loss of function
0.04,354409.72,NA,NA,NA,NA,NA,Loss of function
0.051,354847.088,NA,NA,NA,NA,NA,Loss of function
0.148,355844.305,NA,NA,NA,NA,NA,Loss of function
0.089,355313.26,NA,NA,NA,NA,NA,Loss of function
0.011,353630.812,NA,NA,NA,NA,NA,Loss of function
0.226,356747.6,NA,NA,NA,NA,NA,Loss of function
0.249,358884.038,NA,NA,NA,NA,NA,Loss of function
0.179,355673.093,NA,NA,NA,NA,NA,Loss of function
0.078,357262.499,NA,NA,NA,NA,NA,Loss of function
0.07,356130.957,NA,NA,NA,NA,NA,Loss of function
0.09,358161.774,NA,NA,NA,NA,NA,Loss of function
0.058,356238.222,NA,NA,NA,NA,NA,Loss of function
0.13,358707.249,NA,NA,NA,NA,NA,Loss of function
0.011,354320.974,NA,NA,NA,NA,NA,Loss of function
0.027,355140.296,NA,NA,NA,NA,NA,Loss of function
0.067,357238.352,NA,NA,NA,NA,NA,Loss of function
0.036,355600.461,NA,NA,NA,NA,NA,Loss of function
0.023,354834.474,NA,NA,NA,NA,NA,Loss of function
0.201,357007.81,NA,NA,NA,NA,NA,Loss of function
0.112,359014.406,NA,NA,NA,NA,NA,Loss of function
0.132,358514.308,NA,NA,NA,NA,NA,Loss of function
0.013,354584.929,NA,NA,NA,NA,NA,Loss of function
0.02,354789.759,NA,NA,NA,NA,NA,Loss of function
0.04,355678.327,NA,NA,NA,NA,NA,Loss of function
0.143,359918.606,NA,NA,NA,NA,NA,Loss of function
0.063,356305.569,NA,NA,NA,NA,NA,Loss of function
0.045,355856.594,NA,NA,NA,NA,NA,Loss of function
0.134,360977.607,NA,NA,NA,NA,NA,Loss of function
0.043,355951.262,NA,NA,NA,NA,NA,Loss of function
0.013,354502.21,NA,NA,NA,NA,NA,Loss of function
0.033,355395.781,NA,NA,NA,NA,NA,Loss of function
0.087,359598.866,NA,NA,NA,NA,NA,Loss of function
0.036,355509.203,NA,NA,NA,NA,NA,Loss of function
0.067,356600.776,NA,NA,NA,NA,NA,Loss of function
0.067,356573.833,NA,NA,NA,NA,NA,Loss of function
0.029,354976.441,NA,NA,NA,NA,NA,Loss of function
0.069,357252.243,NA,NA,NA,NA,NA,Loss of function
0.023,354764.526,NA,NA,NA,NA,NA,Loss of function
0.204,358902.463,NA,NA,NA,NA,NA,Loss of function
0.054,356937.859,NA,NA,NA,NA,NA,Loss of function
0.018,354496.562,NA,NA,NA,NA,NA,Loss of function
0.094,358943.217,NA,NA,NA,NA,NA,Loss of function
0.049,356686.638,NA,NA,NA,NA,NA,Loss of function
0.098,359444.269,NA,NA,NA,NA,NA,Loss of function
0.074,356897.744,NA,NA,NA,NA,NA,Loss of function
0.105,358414.76,NA,NA,NA,NA,NA,Loss of function
0.034,355526.186,NA,NA,NA,NA,NA,Loss of function
0.061,356301.043,NA,NA,NA,NA,NA,Loss of function
0.052,355919.498,NA,NA,NA,NA,NA,Loss of function
0.089,358041.323,NA,NA,NA,NA,NA,Loss of function
0.034,355178.255,NA,NA,NA,NA,NA,Loss of function
0.058,356699.687,NA,NA,NA,NA,NA,Loss of function
0.108,358452.634,NA,NA,NA,NA,NA,Loss of function
0.013,354475.746,NA,NA,NA,NA,NA,Loss of function
0.013,354360.031,NA,NA,NA,NA,NA,Loss of function
0.025,355071.779,NA,NA,NA,NA,NA,Loss of function
0.15,359291.899,NA,NA,NA,NA,NA,Loss of function
0.004,354126.406,NA,NA,NA,NA,NA,Loss of function
0.022,354784.091,NA,NA,NA,NA,NA,Loss of function
0.083,358707.087,NA,NA,NA,NA,NA,Loss of function
0.043,355737.84,NA,NA,NA,NA,NA,Loss of function
0.007,354185.211,NA,NA,NA,NA,NA,Loss of function
0.069,356742.372,NA,NA,NA,NA,NA,Loss of function
0.025,354932.877,NA,NA,NA,NA,NA,Loss of function
0.061,355070.713,NA,NA,NA,NA,NA,Loss of function
0.063,354761.478,NA,NA,NA,NA,NA,Loss of function
0.177,358146.904,NA,NA,NA,NA,NA,Loss of function
0.07,355666.731,NA,NA,NA,NA,NA,Loss of function
0.117,355565.56,NA,NA,NA,NA,NA,Loss of function
0.159,357843.762,NA,NA,NA,NA,NA,Loss of function
0.051,354461.974,NA,NA,NA,NA,NA,Loss of function
0.061,354985.636,NA,NA,NA,NA,NA,Loss of function
0.07,354788.829,NA,NA,NA,NA,NA,Loss of function
0.145,357457.659,NA,NA,NA,NA,NA,Loss of function
0.137,356219.479,NA,NA,NA,NA,NA,Loss of function
0.011,353567.036,NA,NA,NA,NA,NA,Loss of function
0.018,353695.312,NA,NA,NA,NA,NA,Loss of function
0.076,355300.734,NA,NA,NA,NA,NA,Loss of function
0.052,354925.608,NA,NA,NA,NA,NA,Loss of function
0.027,353763.74,NA,NA,NA,NA,NA,Loss of function
0.114,356390.235,NA,NA,NA,NA,NA,Loss of function
0.002,353191.531,NA,NA,NA,NA,NA,Loss of function
0.023,353813.32,NA,NA,NA,NA,NA,Loss of function
0.264,356842.902,NA,NA,NA,NA,NA,Loss of function
0.034,353974.028,NA,NA,NA,NA,NA,Loss of function
0.029,353640.141,NA,NA,NA,NA,NA,Loss of function
0.033,353897.91,NA,NA,NA,NA,NA,Loss of function
0.018,353451.562,NA,NA,NA,NA,NA,Loss of function
0.018,353687.159,NA,NA,NA,NA,NA,Loss of function
0.052,354518.942,NA,NA,NA,NA,NA,Loss of function
0.112,357531.331,NA,NA,NA,NA,NA,Loss of function
0.074,355927.409,NA,NA,NA,NA,NA,Loss of function
0.06,354795.633,NA,NA,NA,NA,NA,Loss of function
0.125,355745.942,NA,NA,NA,NA,NA,Loss of function
0.096,359576.366,NA,NA,NA,NA,NA,Loss of function
0.051,354746.18,NA,NA,NA,NA,NA,Loss of function
0.112,358007.324,NA,NA,NA,NA,NA,Loss of function
0.061,356226.584,NA,NA,NA,NA,NA,Loss of function
0.011,353362.547,NA,NA,NA,NA,NA,Loss of function
0.061,354803.744,NA,NA,NA,NA,NA,Loss of function
0.045,354302.156,NA,NA,NA,NA,NA,Loss of function
0.018,353691.859,NA,NA,NA,NA,NA,Loss of function
0.005,353207.167,NA,NA,NA,NA,NA,Loss of function
0.134,357921.601,NA,NA,NA,NA,NA,Loss of function
0.074,355989.689,NA,NA,NA,NA,NA,Loss of function
0.052,354652.207,NA,NA,NA,NA,NA,Loss of function
0.101,355052.388,NA,NA,NA,NA,NA,Loss of function
0.042,354252.899,NA,NA,NA,NA,NA,Loss of function
0.045,353546.031,NA,NA,NA,NA,NA,Loss of function
0.051,354580.873,NA,NA,NA,NA,NA,Loss of function
0.152,354823.069,NA,NA,NA,NA,NA,Loss of function
0.101,353697.401,NA,NA,NA,NA,NA,Loss of function
0.112,353834.03,NA,NA,NA,NA,NA,Loss of function
0.116,354140.702,NA,NA,NA,NA,NA,Loss of function
0.058,352814.35,NA,NA,NA,NA,NA,Loss of function
0.04,352532.795,NA,NA,NA,NA,NA,Loss of function
0.002,351939,NA,NA,NA,NA,NA,Loss of function
0.067,353108.812,NA,NA,NA,NA,NA,Loss of function
0.087,353100.819,NA,NA,NA,NA,NA,Loss of function
0.103,352943.138,NA,NA,NA,NA,NA,Loss of function
0.092,353781.456,NA,NA,NA,NA,NA,Loss of function
0.08,353237.862,NA,NA,NA,NA,NA,Loss of function
0.045,352546.58,NA,NA,NA,NA,NA,Loss of function
0.07,353147.575,NA,NA,NA,NA,NA,Loss of function
0.123,354412.01,NA,NA,NA,NA,NA,Loss of function
0.007,351989.742,NA,NA,NA,NA,NA,Loss of function
0.018,352185.428,NA,NA,NA,NA,NA,Loss of function
0.04,352402.589,NA,NA,NA,NA,NA,Loss of function
0.105,353214.433,NA,NA,NA,NA,NA,Loss of function
0.023,352210.454,NA,NA,NA,NA,NA,Loss of function
0.181,354113.097,NA,NA,NA,NA,NA,Loss of function
0.018,352150.972,NA,NA,NA,NA,NA,Loss of function
0.016,352090.878,NA,NA,NA,NA,NA,Loss of function
0.025,352278.205,NA,NA,NA,NA,NA,Loss of function
0.031,352321.958,NA,NA,NA,NA,NA,Loss of function
0.016,352111.066,NA,NA,NA,NA,NA,Loss of function
0.018,352068.284,NA,NA,NA,NA,NA,Loss of function
0.023,352237.993,NA,NA,NA,NA,NA,Loss of function
0.031,352209.364,NA,NA,NA,NA,NA,Loss of function
0.054,352492.209,NA,NA,NA,NA,NA,Loss of function
0.13,355493.303,NA,NA,NA,NA,NA,Loss of function
0.045,352696.58,NA,NA,NA,NA,NA,Loss of function
0.045,353004.329,NA,NA,NA,NA,NA,Loss of function
0.094,354452.418,NA,NA,NA,NA,NA,Loss of function
0.056,353225.944,NA,NA,NA,NA,NA,Loss of function
0.065,353794.985,NA,NA,NA,NA,NA,Loss of function
0.016,352665.448,NA,NA,NA,NA,NA,Loss of function
0.042,353149.59,NA,NA,NA,NA,NA,Loss of function
0.11,354890.014,NA,NA,NA,NA,NA,Loss of function
0.145,355583.53,NA,NA,NA,NA,NA,Loss of function
0.005,352422.531,NA,NA,NA,NA,NA,Loss of function
0.099,353837.691,NA,NA,NA,NA,NA,Loss of function
0.067,353771.751,NA,NA,NA,NA,NA,Loss of function
0.04,353084.983,NA,NA,NA,NA,NA,Loss of function
0.016,352609.649,NA,NA,NA,NA,NA,Loss of function
0.031,353010.445,NA,NA,NA,NA,NA,Loss of function
0.137,354985.363,NA,NA,NA,NA,NA,Loss of function
0.063,353518.262,NA,NA,NA,NA,NA,Loss of function
0.018,352648.347,NA,NA,NA,NA,NA,Loss of function
0.266,355917.431,NA,NA,NA,NA,NA,Loss of function
0.076,353669.693,NA,NA,NA,NA,NA,Loss of function
0.034,353053.447,NA,NA,NA,NA,NA,Loss of function
0.09,354069.04,NA,NA,NA,NA,NA,Loss of function
0.24,353966.864,NA,NA,NA,NA,NA,Loss of function
0.146,355525.402,NA,NA,NA,NA,NA,Loss of function
0.081,353489.063,NA,NA,NA,NA,NA,Loss of function
0.06,353367.775,NA,NA,NA,NA,NA,Loss of function
0.014,352460.219,NA,NA,NA,NA,NA,Loss of function
0.309,354513.039,NA,NA,NA,NA,NA,Loss of function
0.056,353723.113,NA,NA,NA,NA,NA,Loss of function
0.049,353256.391,NA,NA,NA,NA,NA,Loss of function
0.013,352628.174,NA,NA,NA,NA,NA,Loss of function
0.009,352511.281,NA,NA,NA,NA,NA,Loss of function
0.083,353929.979,NA,NA,NA,NA,NA,Loss of function
0.188,354192.671,NA,NA,NA,NA,NA,Loss of function
0.098,354326.961,NA,NA,NA,NA,NA,Loss of function
0.215,355964.806,NA,NA,NA,NA,NA,Loss of function
0.065,353866.72,NA,NA,NA,NA,NA,Loss of function
0.222,354864.522,NA,NA,NA,NA,NA,Loss of function
0.284,355898.509,NA,NA,NA,NA,NA,Loss of function
0.042,353357.226,NA,NA,NA,NA,NA,Loss of function
0.047,353000.058,NA,NA,NA,NA,NA,Loss of function
0.033,352661.993,NA,NA,NA,NA,NA,Loss of function
0.099,353155.258,NA,NA,NA,NA,NA,Loss of function
0.06,353579.682,NA,NA,NA,NA,NA,Loss of function
0.047,353307.417,NA,NA,NA,NA,NA,Loss of function
0.051,353465.46,NA,NA,NA,NA,NA,Loss of function
0.04,353047.024,NA,NA,NA,NA,NA,Loss of function
0.21,355205.273,NA,NA,NA,NA,NA,Loss of function
0.002,352532.094,NA,NA,NA,NA,NA,Loss of function
0.159,355809.586,NA,NA,NA,NA,NA,Loss of function
0.047,355394.369,NA,NA,NA,NA,NA,Loss of function
0.087,356988.027,NA,NA,NA,NA,NA,Loss of function
0.089,357948.297,NA,NA,NA,NA,NA,Loss of function
0.065,355707.602,NA,NA,NA,NA,NA,Loss of function
0.054,355559.826,NA,NA,NA,NA,NA,Loss of function
0.076,356790.972,NA,NA,NA,NA,NA,Loss of function
0.166,358819.336,NA,NA,NA,NA,NA,Loss of function
0.02,354341.804,NA,NA,NA,NA,NA,Loss of function
0.058,356166.271,NA,NA,NA,NA,NA,Loss of function
0.085,356776.479,NA,NA,NA,NA,NA,Loss of function
0.056,355412.804,NA,NA,NA,NA,NA,Loss of function
0.098,357546.91,NA,NA,NA,NA,NA,Loss of function
0.061,356029.734,NA,NA,NA,NA,NA,Loss of function
0.067,355138.639,NA,NA,NA,NA,NA,Loss of function
0.155,357813.566,NA,NA,NA,NA,NA,Loss of function
0.025,354634.897,NA,NA,NA,NA,NA,Loss of function
0.248,357775.6,NA,NA,NA,NA,NA,Loss of function
0.132,360293.829,NA,NA,NA,NA,NA,Loss of function
0.007,354034.664,NA,NA,NA,NA,NA,Loss of function
0.081,356568.524,NA,NA,NA,NA,NA,Loss of function
0.291,357156.943,NA,NA,NA,NA,NA,Loss of function
0.047,355383.894,NA,NA,NA,NA,NA,Loss of function
0.098,358454.624,NA,NA,NA,NA,NA,Loss of function
0.031,354698.95,NA,NA,NA,NA,NA,Loss of function
0.099,355692.789,NA,NA,NA,NA,NA,Loss of function
0.089,356358.599,NA,NA,NA,NA,NA,Loss of function
0.09,354456.99,NA,NA,NA,NA,NA,Loss of function
0.043,353937.366,NA,NA,NA,NA,NA,Loss of function
0.067,354557.704,NA,NA,NA,NA,NA,Loss of function
0.06,355069.637,NA,NA,NA,NA,NA,Loss of function
0.04,354254.893,NA,NA,NA,NA,NA,Loss of function
0.161,357790.568,NA,NA,NA,NA,NA,Loss of function
0.166,356107.81,NA,NA,NA,NA,NA,Loss of function
0.132,357078.444,NA,NA,NA,NA,NA,Loss of function
0.07,354941.481,NA,NA,NA,NA,NA,Loss of function
0.063,355284.838,NA,NA,NA,NA,NA,Loss of function
0.163,359050.945,NA,NA,NA,NA,NA,Loss of function
0.029,353893.879,NA,NA,NA,NA,NA,Loss of function
0.136,358760.427,NA,NA,NA,NA,NA,Loss of function
0.033,354049.252,NA,NA,NA,NA,NA,Loss of function
0.054,354807.41,NA,NA,NA,NA,NA,Loss of function
0.036,353982.231,NA,NA,NA,NA,NA,Loss of function
0.085,355516.684,NA,NA,NA,NA,NA,Loss of function
0.065,355002.129,NA,NA,NA,NA,NA,Loss of function
0.116,356810.271,NA,NA,NA,NA,NA,Loss of function
0.128,354897.419,NA,NA,NA,NA,NA,Loss of function
0.011,353401.964,NA,NA,NA,NA,NA,Loss of function
0.09,355973.826,NA,NA,NA,NA,NA,Loss of function
0.013,353364.259,NA,NA,NA,NA,NA,Loss of function
0.007,353217.188,NA,NA,NA,NA,NA,Loss of function
0.014,353411.902,NA,NA,NA,NA,NA,Loss of function
0.038,353960.119,NA,NA,NA,NA,NA,Loss of function
0.042,354328.789,NA,NA,NA,NA,NA,Loss of function
0.09,355969.074,NA,NA,NA,NA,NA,Loss of function