C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev
356104.644,353635.468,359824.299,2675.532,3334.484
353689.018,351418.864,357246.595,983.396,1210.189
353668.150,352498.281,356799.083,977.420,1037.447
354771.074,351530.472,356667.481,1729.814,979.724
353540.875,351011.631,358564.469,781.396,2349.940
354605.321,351837.406,356091.859,1633.073,413.060
354001.133,351955.429,355945.664,1284.654,365.950
352458.706,357408.298,359436.368,96.363,2976.883
353089.400,352789.188,356179.893,482.855,620.997
352383.424,350355.868,361811.579,53.106,5157.875
353294.277,351499.614,364240.897,919.154,7040.244
353585.382,351530.885,362913.867,886.330,5766.455
353081.240,353419.031,355998.988,498.933,384.249
352352.492,350766.598,358975.091,27.920,2522.218
353654.295,353353.636,359182.455,1094.416,2922.931
352795.216,353056.526,357059.477,333.782,1111.008
,,359457.511,,2879.771
,,360885.361,,3987.957
,,355618.729,,206.724
357724.517,354706.528,365460.072,3811.345,6693.640
354249.648,350520.455,363031.089,715.758,4627.902
358732.260,352088.451,359435.524,4002.207,1564.129
355507.320,353932.014,361787.482,1368.820,3393.759
355207.811,352075.551,360196.212,1328.099,2151.820
355270.282,351366.556,357875.472,1413.769,640.170
354733.395,350800.447,363875.314,1087.540,4954.201
353448.176,350610.246,364292.106,194.633,5412.544
354418.735,353657.972,359188.836,814.231,1500.317
354185.958,350537.235,361000.737,736.491,2820.770
354599.727,354300.350,358592.984,990.454,1282.898
355323.630,354168.489,361600.050,1520.339,3125.138
355590.688,355754.638,366188.961,1775.572,6199.769
354892.445,353440.452,356937.156,1537.161,0.000
354524.063,358691.542,357845.258,973.155,460.644
353356.741,350478.297,365094.184,132.623,5969.036
354492.503,351302.304,362951.984,897.182,4544.195
354079.303,351423.852,,659.388,
353867.464,351576.486,,456.554,
353610.601,350665.598,,310.801,
353424.380,353285.578,,170.230,
353341.835,353687.909,,164.909,
360952.408,353046.521,356735.008,4692.906,479.079
361786.894,355785.385,356240.000,5133.242,33.013
356300.404,353771.890,361236.857,1196.219,3401.301
356554.526,352381.771,358997.355,1166.341,1752.302
360182.374,353663.689,358744.399,3829.065,1774.440
357025.505,352711.692,367455.548,1371.431,9388.599
358383.473,354213.170,361347.362,2822.641,4373.194
357414.614,352887.775,359110.774,1706.391,1880.083
354774.766,353393.594,359165.637,22.959,2420.638
356065.146,357926.767,359492.691,788.691,2238.047
358875.581,354623.053,360575.443,3119.502,2842.560
356025.877,352495.835,363819.513,763.524,5920.112
356276.214,352825.386,358963.331,1107.935,1719.942
356383.537,352584.769,361543.348,1062.228,3987.498
356348.041,354134.658,359868.204,1037.185,2460.041
,,359612.151,,2185.959
352673.279,350431.457,356982.525,489.197,2123.807
352907.856,352231.907,357394.884,625.072,2542.219
353814.892,352326.625,357944.523,1367.240,2966.683
353947.951,350635.377,357122.120,1583.982,2279.521
353692.205,351437.977,354423.750,1199.325,203.392
352469.639,350553.650,355517.373,316.870,993.044
354155.554,351731.161,359202.310,1669.474,4168.544
354154.751,351745.126,355326.927,1656.831,967.697
353736.751,351168.240,356094.003,1323.212,1396.680
353839.545,351548.621,359219.530,1477.800,3966.804
352582.413,355067.271,,408.827,
353158.742,351452.591,,808.223,
353177.565,350663.406,,821.251,
357455.605,352102.096,366891.403,3306.891,11098.778
355224.003,350744.812,360996.721,1108.309,3238.438
355880.467,353596.291,361489.534,1569.632,3521.148
355362.072,350884.021,360902.952,1433.808,2950.048
355132.004,350984.383,364879.369,1064.660,6547.028
357573.285,353341.394,362446.887,2459.638,4232.595
358602.492,353675.093,361426.747,3526.216,3254.704
357195.428,353033.825,363406.698,2926.153,5509.155
356466.197,353370.300,361557.669,2026.113,3350.809
355780.458,358591.152,361527.543,1554.659,3687.324
353776.781,350530.728,363775.903,125.043,5779.946
356246.223,354423.347,361851.086,1941.240,3524.128
355288.286,351033.716,360092.387,1133.688,2373.091
355683.851,353467.914,,1382.937,
356572.431,354505.118,,2248.833,
356288.197,354856.989,,1941.062,
354399.285,352440.751,,510.678,
354042.756,350693.874,,284.119,
354042.519,355633.363,,279.754,
356425.845,352672.765,355937.681,2523.696,407.211
354948.353,352851.760,355205.438,1792.385,0.000
356014.075,353008.026,357701.707,2253.066,1621.926
354586.757,353470.004,358700.940,1293.937,2335.991
352774.420,350505.286,361286.180,67.113,4504.266
354133.901,352257.132,360395.629,936.326,3645.302
354515.579,352668.961,362428.014,1185.798,5567.556
353982.373,352089.073,358959.181,864.317,2812.004
354347.749,353051.181,358756.827,1019.518,2555.075
353954.702,351863.056,356317.615,1050.525,771.661
354355.050,351368.370,355428.898,1125.190,101.927
354108.943,351611.681,360497.504,1000.167,3857.541
352696.542,352402.094,355841.691,9.653,500.064
354234.079,354022.604,357386.754,1050.604,1576.840
355443.530,354205.188,356389.207,2071.914,643.730
354103.192,351994.279,358254.456,954.716,2140.253
353049.795,352349.676,362114.116,253.124,5322.500
354482.695,351560.585,357024.244,1184.052,1336.431
353493.157,352718.554,,651.578,
361408.762,353910.755,360178.159,4889.721,1532.881
355972.780,357228.240,362354.676,600.783,3276.891
358736.079,354045.235,363377.923,2533.204,3886.793
361172.599,356386.223,369059.755,4817.239,9272.812
359664.491,358651.278,362006.962,3538.138,2984.340
360153.779,354439.517,370018.676,4084.377,9193.774
360191.181,357979.469,363078.839,4138.936,3710.171
357835.662,354601.027,361848.933,1857.146,2715.358
361573.257,356178.221,359378.719,4904.270,1052.796
356271.627,355741.292,358239.219,938.153,280.140
358068.393,356056.695,366107.864,2282.981,6147.986
356775.070,351276.124,363715.794,1037.885,4267.932
357278.726,353124.682,364109.584,1474.516,4650.360
357145.407,353252.843,364983.428,1506.791,4572.426
358304.155,355419.238,364295.685,2353.114,5168.906
354972.844,351473.656,366486.004,30.892,6631.006
354957.594,350905.000,361411.530,14.805,2300.497
355779.887,352104.593,363191.915,533.494,3956.633
356305.568,355840.254,365727.356,755.504,5475.941
357289.376,353477.983,359734.965,1593.508,1127.809
353480.369,350582.698,358794.742,286.926,1402.510
356092.939,355618.771,357430.691,2462.610,380.196
356365.658,357029.429,361020.662,2305.672,3114.352
355976.346,352708.157,367286.809,2064.896,8589.606
355106.150,355476.923,363473.340,1384.034,4790.842
354618.651,352409.262,358174.226,1082.913,683.661
355088.419,355825.907,358260.727,1522.239,800.071
355731.338,352950.862,357630.966,1755.095,491.674
357206.556,355350.995,363697.022,2749.643,4791.509
354208.467,355469.166,360468.065,806.526,2675.677
353674.355,354743.931,363307.309,415.413,4768.032
354078.943,353331.110,364410.483,786.815,5402.796
353931.181,353623.985,360441.659,622.179,2381.239
354001.589,357831.673,361147.217,620.378,2927.799
353319.688,351761.711,360400.353,197.073,2425.074
356309.543,352427.587,356606.641,1828.276,639.291
356566.699,353715.324,355925.453,2196.446,130.218
356205.341,352357.991,359709.531,1669.499,2786.653
353218.927,350531.604,360642.805,7.126,3383.828
356143.312,352857.751,357947.969,1860.787,1499.323
354168.015,352792.393,358264.595,646.049,2051.304
355844.981,353302.985,361237.273,1717.327,4460.292
355290.669,354662.430,359055.502,1454.166,2380.294
353494.892,352240.973,363175.124,213.536,5516.808
354328.258,354756.831,361405.560,805.386,4368.265
355209.353,354034.157,357335.705,1341.665,1058.348
,,362335.878,,4864.061
,,358558.859,,1744.115
358504.191,352847.868,360212.526,2634.274,2112.019
358899.333,354407.170,358114.819,2757.112,911.933
360167.235,353070.332,360217.519,3227.874,2118.515
361185.290,354752.143,359196.176,4479.875,1491.690
360573.785,355899.945,364294.454,3894.657,5794.353
359638.237,353782.613,356987.906,3121.384,117.658
358290.691,352260.330,362674.412,2008.868,3897.483
359291.252,354221.899,358538.144,3188.979,1195.768
355351.287,350723.054,366894.816,207.174,8258.822
355011.344,350878.990,361806.291,42.586,3028.569
355837.167,351452.302,357710.025,483.814,577.080
356289.730,350959.311,361774.578,815.028,3395.417
357443.106,357621.412,364355.171,1745.115,5723.248
356615.339,358282.949,365227.694,981.651,5839.892
,,364280.961,,5066.537
,,361000.871,,2741.980
353939.884,350927.425,355478.004,80.132,621.909
358830.467,351308.508,357291.242,3594.276,1908.042
357362.860,351686.075,357112.607,2750.612,1945.976
356345.515,351854.148,355287.550,1711.207,485.429
355170.921,352251.441,355815.356,901.217,1014.013
354932.750,350936.644,356589.206,688.261,1548.103
358854.371,353063.034,356575.769,3478.665,1683.902
355812.091,353063.449,355421.223,1477.590,595.566
356762.135,354648.779,355764.208,2126.256,845.558
355851.110,351014.101,359526.005,1447.957,3397.750
354553.207,352327.181,356491.433,475.100,1366.606
354173.062,350438.834,356214.906,242.733,1271.943
356372.886,353155.133,359531.610,1686.510,4018.029
353838.438,354230.469,356999.460,20.594,1826.365
353847.898,350470.430,358147.992,26.200,2943.627
356091.228,354251.193,361714.403,1452.715,5951.977
354502.351,352855.383,,397.005,
354034.884,355136.781,356521.332,63.113,1543.594
356656.579,352149.633,358685.020,1860.054,3138.577
358304.320,352371.057,355104.354,2963.901,525.045
357043.180,352467.653,356630.046,2010.847,1524.890
357902.248,352340.613,358480.776,3240.654,3082.140
357126.935,351504.698,359315.055,2681.575,4007.678
356469.494,353776.936,358901.413,1910.072,3366.697
355368.905,351085.049,358695.117,1008.198,3435.326
356205.007,351095.032,356791.814,1516.327,1515.978
354179.656,351676.474,359283.463,198.634,3207.426
357888.099,353559.858,356069.753,2694.987,1116.638
355986.565,354045.991,355222.040,1390.899,476.578
355869.113,352293.362,358187.477,1370.457,2695.736
353924.177,352003.031,,32.882,